platform,link_type,link_value,client_id,status,notes,created_at
mgid,campaignid,12273457,banco_cora_fe13d78a,active,,2026-05-26
mgid,campaignid,12414814,banco_cora_fe13d78a,active,,2026-05-26
mgid,campaignid,12414810,banco_cora_fe13d78a,active,,2026-05-26
mgid,campaignid,12289450,efi_bank_ee79e91b,active,,2026-05-26
mgid,campaignid,12298879,efi_bank_ee79e91b,active,,2026-05-26
mgid,campaignid,12246782,amigo_db1c2f0c,pending_confirmation,,2026-05-26
mgid,campaignid,12224045,amigo_db1c2f0c,pending_confirmation,,2026-05-26
mgid,campaignid,12298866,amigo_db1c2f0c,pending_confirmation,,2026-05-26
mgid,campaignid,12273461,amigo_db1c2f0c,pending_confirmation,,2026-05-26
mgid,campaignid,12339736,amigo_db1c2f0c,pending_confirmation,,2026-05-26
mgid,campaignid,12339737,amigo_db1c2f0c,pending_confirmation,,2026-05-26
mgid,campaignid,12298875,amigo_db1c2f0c,pending_confirmation,,2026-05-26
mgid,campaignid,12322545,amigo_db1c2f0c,pending_confirmation,,2026-05-26
mgid,campaignid,12322540,amigo_db1c2f0c,pending_confirmation,,2026-05-26
mgid,campaignid,12196875,amigo_db1c2f0c,pending_confirmation,,2026-05-26
mgid,campaignid,12196877,amigo_db1c2f0c,pending_confirmation,,2026-05-26
mgid,campaignid,12368544,amigo_db1c2f0c,pending_confirmation,,2026-05-26
mgid,campaignid,12368541,amigo_db1c2f0c,pending_confirmation,,2026-05-26
mgid,campaignid,12400002,amigo_db1c2f0c,pending_confirmation,,2026-05-26
mgid,campaignid,12400004,amigo_db1c2f0c,pending_confirmation,,2026-05-26
mgid,campaignid,12322541,amigo_db1c2f0c,pending_confirmation,,2026-05-26
mgid,campaignid,12322542,amigo_db1c2f0c,pending_confirmation,,2026-05-26
mgid,campaignid,12224048,amigo_db1c2f0c,pending_confirmation,,2026-05-26
mgid,campaignid,12246780,amigo_db1c2f0c,pending_confirmation,,2026-05-26
mgid,campaignid,12246779,amigo_db1c2f0c,pending_confirmation,,2026-05-26
mgid,campaignid,12224047,amigo_db1c2f0c,pending_confirmation,,2026-05-26
mgid,campaignid,12339738,amigo_db1c2f0c,pending_confirmation,,2026-05-26
mgid,campaignid,12339734,amigo_db1c2f0c,pending_confirmation,,2026-05-26
mgid,campaignid,12368539,amigo_db1c2f0c,pending_confirmation,,2026-05-26
mgid,campaignid,12368543,amigo_db1c2f0c,pending_confirmation,,2026-05-26
mgid,campaignid,12273462,amigo_db1c2f0c,pending_confirmation,,2026-05-26
mgid,campaignid,12273466,amigo_db1c2f0c,pending_confirmation,,2026-05-26
mgid,campaignid,12298867,amigo_db1c2f0c,pending_confirmation,,2026-05-26
mgid,campaignid,12298872,amigo_db1c2f0c,pending_confirmation,,2026-05-26
mgid,campaignid,12414816,amigo_db1c2f0c,pending_confirmation,,2026-05-26
mgid,campaignid,12414818,amigo_db1c2f0c,pending_confirmation,,2026-05-26
mgid,campaignid,12264568,pardini_60395024,active,,2026-05-26
mgid,campaignid,12231080,pardini_60395024,active,,2026-05-26
mgid,campaignid,12236535,mrv_f19a2136,active,,2026-05-26
mgid,campaignid,12333908,dr_consulta_rj_11040bf9,pending_confirmation,,2026-05-26
mgid,campaignid,12374019,dr_consulta_rj_11040bf9,pending_confirmation,,2026-05-26
mgid,campaignid,12333909,dr_consulta_rj_11040bf9,pending_confirmation,,2026-05-26
mgid,campaignid,12324550,stoquinho_56a6ee2a,pending_confirmation,,2026-05-26
mgid,campaignid,12259284,stoquinho_56a6ee2a,pending_confirmation,,2026-05-26
mgid,campaignid,12281333,stoquinho_56a6ee2a,pending_confirmation,,2026-05-26
mgid,campaignid,12301951,stoquinho_56a6ee2a,pending_confirmation,,2026-05-26
mgid,campaignid,12281330,stocco_b712c66e,pending_confirmation,,2026-05-26
mgid,campaignid,12259280,stocco_b712c66e,pending_confirmation,,2026-05-26
mgid,campaignid,12301950,stocco_b712c66e,pending_confirmation,,2026-05-26
mgid,campaignid,12298832,mopar_a47949f4,active,,2026-05-26
mgid,campaignid,12276194,mopar_a47949f4,active,,2026-05-26
mgid,campaignid,12276195,mopar_a47949f4,active,,2026-05-26
mgid,campaignid,12334682,patio_medeiros_874a0358,active,,2026-05-26
mgid,campaignid,12366313,patio_medeiros_874a0358,active,,2026-05-26
mgid,campaignid,12224819,townhouses_bc40f009,active,,2026-05-26
mgid,campaignid,12374021,einstein_6b33a588,active,,2026-05-26
mgid,campaignid,12400020,einstein_6b33a588,active,,2026-05-26
mgid,campaignid,12416908,einstein_6b33a588,active,,2026-05-26
mgid,campaignid,12414276,einstein_6b33a588,active,,2026-05-26
mgid,campaignid,12283455,dooing_994db77e,active,,2026-05-26
mgid,campaignid,12419235,senar_105bd174,active,,2026-05-26
mgid,campaignid,12419236,senar_105bd174,active,,2026-05-26
mgid,campaignid,12220920,banco_cora_fe13d78a,active,,2026-05-26
mgid,campaignid,12224046,amigo_db1c2f0c,pending_confirmation,,2026-05-26
mgid,campaignid,12246781,amigo_db1c2f0c,pending_confirmation,,2026-05-26
mgid,campaignid,12273460,amigo_db1c2f0c,pending_confirmation,,2026-05-26
mgid,campaignid,12196876,amigo_db1c2f0c,pending_confirmation,,2026-05-26
mgid,campaignid,12196878,amigo_db1c2f0c,pending_confirmation,,2026-05-26
mgid,campaignid,12184059,amigo_db1c2f0c,pending_confirmation,,2026-05-26
mgid,campaignid,12184060,amigo_db1c2f0c,pending_confirmation,,2026-05-26
mgid,campaignid,11916496,pardini_60395024,active,,2026-05-26
mgid,campaignid,11933911,pardini_60395024,active,,2026-05-26
mgid,campaignid,11933918,pardini_60395024,active,,2026-05-26
mgid,campaignid,11944803,pardini_60395024,active,,2026-05-26
mgid,campaignid,11969737,pardini_60395024,active,,2026-05-26
mgid,campaignid,11969739,pardini_60395024,active,,2026-05-26
mgid,campaignid,12093310,pardini_60395024,active,,2026-05-26
mgid,campaignid,12093311,pardini_60395024,active,,2026-05-26
mgid,campaignid,12093313,pardini_60395024,active,,2026-05-26
mgid,campaignid,12126341,pardini_60395024,active,,2026-05-26
mgid,campaignid,12126343,pardini_60395024,active,,2026-05-26
mgid,campaignid,12159901,caloi_8ac28140,pending_confirmation,,2026-05-26
mgid,campaignid,12116277,caloi_8ac28140,pending_confirmation,,2026-05-26
mgid,campaignid,12060612,bet7k_b777ab9c,pending_confirmation,,2026-05-26
mgid,campaignid,12078841,bet7k_b777ab9c,pending_confirmation,,2026-05-26
mgid,campaignid,12083624,bet7k_b777ab9c,pending_confirmation,,2026-05-26
mgid,campaignid,12083627,bet7k_b777ab9c,pending_confirmation,,2026-05-26
mgid,campaignid,11877910,lab2lab_efb1cb34,pending_confirmation,,2026-05-26
mgid,campaignid,12384838,catalise_0b7d18d6,pending_confirmation,1.2M imp mar/2026 — cliente nao confirmado,2026-05-26
